year,month,day,hour,doy,TA,VPD,SW,PAR_up,wds,precip
2019,1,1,0,1,-25.6455,0.150755,0,0,2.6774,0
2019,1,1,1,1,-25.393,0.153875,0,0,2.9121,0.045
2019,1,1,2,1,-25.1635,0.15205,0,0,2.6573,0.0983333
2019,1,1,3,1,-23.905,0.16314,0,0,2.3419,0
2019,1,1,4,1,-24.0205,0.16066,0,0,1.9034,0
2019,1,1,5,1,-23.4225,0.16499,0,0,2.3813,0
2019,1,1,6,1,-23.0555,0.16469,0,0,3.1028,0
2019,1,1,7,1,-22.3495,0.17006,0,0,2.6186,0
2019,1,1,8,1,-21.93,0.171965,0,0,2.6811,0
2019,1,1,9,1,-21.0465,0.173805,1.2489402,0.311567772,3.26475,0
2019,1,1,10,1,-19.7585,0.18258,7.0678907,2.72241663,3.677575,0.0233333
2019,1,1,11,1,-18.989,0.18254,25.2071155,9.94552337,4.21585,0.92
2019,1,1,12,1,-17.7535,0.18494,50.1065495,20.36247837,4.7651,0.275
2019,1,1,13,1,-16.575,0.187715,50.8409835,21.19617196,4.1766,0.905
2019,1,1,14,1,-15.113,0.186875,76.7619175,30.72247391,4.0964,0
2019,1,1,15,1,-13.8765,0.190205,29.6843515,12.58258076,3.6193,0.04
2019,1,1,16,1,-13.2135,0.18788,11.8658856,5.170078804,3.631,0.295
2019,1,1,17,1,-12.259,0.180595,1.28234315,0.529832152,3.6642,0.385
2019,1,1,18,1,-10.17025,0.161495,0,0,4.44555,0.1
2019,1,1,19,1,-8.12445,0.15116,0,0,4.3912,0.11
2019,1,1,20,1,-7.13005,0.139265,0,0,4.249,0.07
2019,1,1,21,1,-6.5553,0.13316,0,0,3.58595,0
2019,1,1,22,1,-5.8703,0.116865,0,0,3.79965,0.0966667
2019,1,1,23,1,-5.09765,0.1073,0,0,3.35525,0
2019,1,2,0,2,-4.82915,0.102025,0,0,4.3479,0
2019,1,2,1,2,-5.1022,0.109385,0,0,4.69985,0
2019,1,2,2,2,-5.61235,0.11503,0,0,4.5572,0
2019,1,2,3,2,-5.7584,0.118055,0,0,4.6467,0
2019,1,2,4,2,-6.13955,0.12743,0,0,3.62,0
2019,1,2,5,2,-6.62275,0.131705,0,0,2.7802,0
2019,1,2,6,2,-6.62245,0.13167,0,0,2.463,0
2019,1,2,7,2,-6.5602,0.12979,0,0,2.30895,0
2019,1,2,8,2,-6.308,0.12509,0,0,2.08925,0
2019,1,2,9,2,-6.55225,0.134495,0.79422315,0.827504859,2.50165,0
2019,1,2,10,2,-6.7509,0.12653,32.648476,11.94492283,3.2797,0
2019,1,2,11,2,-6.09795,0.11367,34.465848,13.98100978,3.35075,0
2019,1,2,12,2,-5.2527,0.101726,49.321221,20.81981359,3.01595,0
2019,1,2,13,2,-4.0536,0.0816455,125.564095,50.55731304,2.66075,0
2019,1,2,14,2,-3.05595,0.0661145,114.8179665,45.4084,3.9774,0
2019,1,2,15,2,-2.0437,0.051671,113.772841,43.92470435,3.4349,0
2019,1,2,16,2,-0.94684,0.047978,69.035712,21.39579185,3.5349,0
2019,1,2,17,2,-0.330635,0.0767855,2.8546202,1.162896196,3.8068,0
2019,1,2,18,2,-0.50087,0.0839175,0,0,4.64615,0
2019,1,2,19,2,-0.723065,0.067062,0,0,3.98925,0
2019,1,2,20,2,-0.622795,0.0848185,0,0,3.82255,0
2019,1,2,21,2,-0.807135,0.08036,0,0,3.34145,0
2019,1,2,22,2,-0.46928,0.086926,0,0,3.62085,0
2019,1,2,23,2,-0.21034,0.0807105,0,0,2.9229,0
2019,1,3,0,3,-0.081745,0.0979725,0,0,2.86425,0
