year,month,day,hour,doy,nee,nee_gf,gpp,gpp_gf,sif
2019,1,1,0.25,1,,0.43974,,-0.30297,
2019,1,1,1.25,1,,0.37279,,-0.23604,
2019,1,1,2.25,1,,0.32784,,-0.172235,
2019,1,1,3.25,1,,0.371015,,-0.2125,
2019,1,1,4.25,1,,0.37039,,-0.20395,
2019,1,1,5.25,1,,0.381015,,-0.210455,
2019,1,1,6.25,1,,0.386845,,-0.205235,
2019,1,1,7.25,1,,0.374695,,-0.184945,
2019,1,1,8.25,1,,0.352115,,-0.152905,
2019,1,1,9.25,1,,0.3588,,-0.138785,
2019,1,1,10.25,1,,0.35199,,-0.11916,
2019,1,1,11.25,1,,0.320975,,-0.070886,0.013983885
2019,1,1,12.25,1,,0.318495,,-0.0485675,0.009793016
2019,1,1,13.25,1,,0.31268,,-0.02301,0.016804459
2019,1,1,14.25,1,,0.33304,,-0.020212,0.006098696
2019,1,1,15.25,1,,0.342635,,-0.01738745,0.007209831
2019,1,1,16.25,1,,0.33956,,-0.003155,
2019,1,1,17.25,1,,0.363025,,-0.006375365,
2019,1,1,18.25,1,,0.381595,,0.01004105,
2019,1,1,19.25,1,,0.40127,,0.0088166,
2019,1,1,20.25,1,,0.40034,,0.020929,
2019,1,1,21.25,1,,0.4021,,0.0252235,
2019,1,1,22.25,1,,0.403905,,0.0346665,
2019,1,1,23.25,1,,0.3596,,0.0859675,
2019,1,2,0.25,2,,0.374035,,0.0716345,
2019,1,2,1.25,2,,0.37567,,0.063078,
2019,1,2,2.25,2,,0.39481,,0.0405455,
2019,1,2,3.25,2,,0.393045,,0.039695,
2019,1,2,4.25,2,,0.392015,,0.033378,
2019,1,2,5.25,2,,0.38156,,0.041331,
2019,1,2,6.25,2,,0.37836,,0.044848,
2019,1,2,7.25,2,,0.372645,,0.0525745,
2019,1,2,8.25,2,,0.34785,,0.0798525,
2019,1,2,9.25,2,,0.344255,,0.076785,
2019,1,2,10.25,2,,0.347975,,0.076392,
2019,1,2,11.25,2,,0.33622,,0.0990205,-0.009224979
2019,1,2,12.25,2,,0.32686,,0.120985,0.017538931
2019,1,2,13.25,2,,0.315185,,0.148475,0.031615998
2019,1,2,14.25,2,,0.333255,,0.141385,0.020547757
2019,1,2,15.25,2,,0.33957,,0.14693,0.025661755
2019,1,2,16.25,2,,0.33894,,0.16098,
2019,1,2,17.25,2,,0.40218,,0.0985875,
2019,1,2,18.25,2,,0.40757,,0.090345,
2019,1,2,19.25,2,,0.403835,,0.092242,
2019,1,2,20.25,2,,0.40674,,0.091192,
2019,1,2,21.25,2,,0.41675,,0.079817,
2019,1,2,22.25,2,,0.43546,,0.0664505,
2019,1,2,23.25,2,,0.43483,,0.069365,
2019,1,3,0.25,3,,0.442915,,0.057061,
2019,1,3,1.25,3,,0.44851,,0.0575335,
2019,1,3,2.25,3,,0.41944,,0.0910115,
2019,1,3,3.25,3,,0.40554,,0.089265,
2019,1,3,4.25,3,,0.423565,,0.0688545,
2019,1,3,5.25,3,,0.40654,,0.08733,
2019,1,3,6.25,3,,0.42334,,0.0682465,
2019,1,3,7.25,3,,0.409835,,0.0840285,
2019,1,3,8.25,3,,0.35696,,0.133385,
2019,1,3,9.25,3,,0.359465,,0.13023,
2019,1,3,10.25,3,,0.342845,,0.14811,
2019,1,3,11.25,3,,0.338255,,0.16075,0.008466481
2019,1,3,12.25,3,,0.32944,,0.183605,0.032415873
2019,1,3,13.25,3,,0.31636,,0.196015,0.029401009
2019,1,3,14.25,3,,0.33292,,0.17843,0.016995063
2019,1,3,15.25,3,,0.339075,,0.16975,0.034439455
2019,1,3,16.25,3,,0.33335,,0.167275,
2019,1,3,17.25,3,,0.394405,,0.0932805,
2019,1,3,18.25,3,,0.419755,,0.057165,
2019,1,3,19.25,3,,0.40477,,0.063037,
2019,1,3,20.25,3,,0.411255,,0.052405,
2019,1,3,21.25,3,,0.411395,,0.047939,
2019,1,3,22.25,3,,0.408435,,0.0444735,
2019,1,3,23.25,3,,0.38686,,0.0682995,
2019,1,4,0.25,4,,0.381035,,0.074111,
