         67464470 function calls (67180742 primitive calls) in 4688.950 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    27144 1651.796    0.061 1651.796    0.061 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\SIF.py:155(cal_rtm_sif)
   126672  858.829    0.007  860.205    0.007 C:\Users\liuha\anaconda3\lib\site-packages\numpy\linalg\linalg.py:553(matrix_power)
     4524  767.299    0.170 1866.307    0.413 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\SIF.py:73(cal_sif_leaf)
    27144  539.287    0.020  751.121    0.028 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\SIF.py:141(sif_canopy_matrix)
    99528  381.738    0.004  384.536    0.004 C:\Users\liuha\anaconda3\lib\site-packages\numpy\linalg\linalg.py:476(inv)
     9048  140.849    0.016 2640.186    0.292 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\SIF.py:277(cal_canopy_sif)
    27144   71.010    0.003   71.010    0.003 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\SIF.py:127(sif_leaf_matrix)
   253344   65.746    0.000   69.438    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\lib\twodim_base.py:156(eye)
      731   47.743    0.065 4672.362    6.392 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\model.py:85(tbm)
    35819   16.815    0.000   21.610    0.001 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\RTM_Optical.py:243(hotspot_calculations_vec)
3984470/3700815   12.918    0.000 1274.767    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
       52   12.775    0.246   13.201    0.254 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\RTM_initial.py:490(volscatt_vec)
   255617   11.005    0.000   11.629    0.000 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\TIR.py:184(calc_netrad)
   492311    8.813    0.000    8.813    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    17544    8.426    0.000   40.384    0.002 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\RTM_Optical.py:12(rtm_o)
    17544    6.220    0.000   72.236    0.004 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\Ebal.py:139(Ebal)
   246720    6.048    0.000   10.302    0.000 C:\Users\liuha\anaconda3\lib\site-packages\scipy\integrate\_quadrature.py:391(_basic_simpson)
  1022468    5.157    0.000    5.157    0.000 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\resistance.py:11(calc_Psi_M)
3427676/3427672    4.062    0.000    4.062    0.000 {built-in method numpy.array}
   415797    3.775    0.000    3.775    0.000 {built-in method numpy.zeros}
  1079310    2.742    0.000    2.742    0.000 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\PhotoSynth_Jen.py:238(sel_root)
  1092644    2.601    0.000    2.601    0.000 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\Ebal_funcs.py:28(calc_delta_vapor_pressure)
   546322    2.364    0.000    4.904    0.000 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\Ebal.py:71(calc_veg_fluxes)
