year,month,day,hour,doy,nee,nee_gf,gpp,gpp_gf,sif,TA,VPD,SW,PAR_up,wds,precip
2019,1,1,0.25,1,,0.43974,,-0.30297,,-25.6455,0.150755,0,0,2.6774,0
2019,1,1,1.25,1,,0.37279,,-0.23604,,-25.393,0.153875,0,0,2.9121,0.045
2019,1,1,2.25,1,,0.32784,,-0.172235,,-25.1635,0.15205,0,0,2.6573,0.0983333
2019,1,1,3.25,1,,0.371015,,-0.2125,,-23.905,0.16314,0,0,2.3419,0
2019,1,1,4.25,1,,0.37039,,-0.20395,,-24.0205,0.16066,0,0,1.9034,0
2019,1,1,5.25,1,,0.381015,,-0.210455,,-23.4225,0.16499,0,0,2.3813,0
2019,1,1,6.25,1,,0.386845,,-0.205235,,-23.0555,0.16469,0,0,3.1028,0
2019,1,1,7.25,1,,0.374695,,-0.184945,,-22.3495,0.17006,0,0,2.6186,0
2019,1,1,8.25,1,,0.352115,,-0.152905,,-21.93,0.171965,0,0,2.6811,0
2019,1,1,9.25,1,,0.3588,,-0.138785,,-21.0465,0.173805,1.2489402,0.311567772,3.26475,0
2019,1,1,10.25,1,,0.35199,,-0.11916,,-19.7585,0.18258,7.0678907,2.72241663,3.677575,0.0233333
2019,1,1,11.25,1,,0.320975,,-0.070886,0.013983885,-18.989,0.18254,25.2071155,9.94552337,4.21585,0.92
2019,1,1,12.25,1,,0.318495,,-0.0485675,0.009793016,-17.7535,0.18494,50.1065495,20.36247837,4.7651,0.275
2019,1,1,13.25,1,,0.31268,,-0.02301,0.016804459,-16.575,0.187715,50.8409835,21.19617196,4.1766,0.905
2019,1,1,14.25,1,,0.33304,,-0.020212,0.006098696,-15.113,0.186875,76.7619175,30.72247391,4.0964,0
2019,1,1,15.25,1,,0.342635,,-0.01738745,0.007209831,-13.8765,0.190205,29.6843515,12.58258076,3.6193,0.04
2019,1,1,16.25,1,,0.33956,,-0.003155,,-13.2135,0.18788,11.8658856,5.170078804,3.631,0.295
2019,1,1,17.25,1,,0.363025,,-0.006375365,,-12.259,0.180595,1.28234315,0.529832152,3.6642,0.385
2019,1,1,18.25,1,,0.381595,,0.01004105,,-10.17025,0.161495,0,0,4.44555,0.1
2019,1,1,19.25,1,,0.40127,,0.0088166,,-8.12445,0.15116,0,0,4.3912,0.11
2019,1,1,20.25,1,,0.40034,,0.020929,,-7.13005,0.139265,0,0,4.249,0.07
2019,1,1,21.25,1,,0.4021,,0.0252235,,-6.5553,0.13316,0,0,3.58595,0
2019,1,1,22.25,1,,0.403905,,0.0346665,,-5.8703,0.116865,0,0,3.79965,0.0966667
2019,1,1,23.25,1,,0.3596,,0.0859675,,-5.09765,0.1073,0,0,3.35525,0
2019,1,2,0.25,2,,0.374035,,0.0716345,,-4.82915,0.102025,0,0,4.3479,0
2019,1,2,1.25,2,,0.37567,,0.063078,,-5.1022,0.109385,0,0,4.69985,0
2019,1,2,2.25,2,,0.39481,,0.0405455,,-5.61235,0.11503,0,0,4.5572,0
2019,1,2,3.25,2,,0.393045,,0.039695,,-5.7584,0.118055,0,0,4.6467,0
2019,1,2,4.25,2,,0.392015,,0.033378,,-6.13955,0.12743,0,0,3.62,0
2019,1,2,5.25,2,,0.38156,,0.041331,,-6.62275,0.131705,0,0,2.7802,0
2019,1,2,6.25,2,,0.37836,,0.044848,,-6.62245,0.13167,0,0,2.463,0
2019,1,2,7.25,2,,0.372645,,0.0525745,,-6.5602,0.12979,0,0,2.30895,0
2019,1,2,8.25,2,,0.34785,,0.0798525,,-6.308,0.12509,0,0,2.08925,0
2019,1,2,9.25,2,,0.344255,,0.076785,,-6.55225,0.134495,0.79422315,0.827504859,2.50165,0
2019,1,2,10.25,2,,0.347975,,0.076392,,-6.7509,0.12653,32.648476,11.94492283,3.2797,0
2019,1,2,11.25,2,,0.33622,,0.0990205,-0.009224979,-6.09795,0.11367,34.465848,13.98100978,3.35075,0
2019,1,2,12.25,2,,0.32686,,0.120985,0.017538931,-5.2527,0.101726,49.321221,20.81981359,3.01595,0
2019,1,2,13.25,2,,0.315185,,0.148475,0.031615998,-4.0536,0.0816455,125.564095,50.55731304,2.66075,0
2019,1,2,14.25,2,,0.333255,,0.141385,0.020547757,-3.05595,0.0661145,114.8179665,45.4084,3.9774,0
2019,1,2,15.25,2,,0.33957,,0.14693,0.025661755,-2.0437,0.051671,113.772841,43.92470435,3.4349,0
2019,1,2,16.25,2,,0.33894,,0.16098,,-0.94684,0.047978,69.035712,21.39579185,3.5349,0
2019,1,2,17.25,2,,0.40218,,0.0985875,,-0.330635,0.0767855,2.8546202,1.162896196,3.8068,0
2019,1,2,18.25,2,,0.40757,,0.090345,,-0.50087,0.0839175,0,0,4.64615,0
2019,1,2,19.25,2,,0.403835,,0.092242,,-0.723065,0.067062,0,0,3.98925,0
2019,1,2,20.25,2,,0.40674,,0.091192,,-0.622795,0.0848185,0,0,3.82255,0
2019,1,2,21.25,2,,0.41675,,0.079817,,-0.807135,0.08036,0,0,3.34145,0
2019,1,2,22.25,2,,0.43546,,0.0664505,,-0.46928,0.086926,0,0,3.62085,0
2019,1,2,23.25,2,,0.43483,,0.069365,,-0.21034,0.0807105,0,0,2.9229,0
2019,1,3,0.25,3,,0.442915,,0.057061,,-0.081745,0.0979725,0,0,2.86425,0
2019,1,3,1.25,3,,0.44851,,0.0575335,,-0.46001,0.0759765,0,0,3.39695,0
2019,1,3,2.25,3,,0.41944,,0.0910115,,0.518455,0.249125,0,0,3.64365,0
2019,1,3,3.25,3,,0.40554,,0.089265,,-0.04597,0.185245,0,0,3.0792,0
2019,1,3,4.25,3,,0.423565,,0.0688545,,-1.2552,0.0184815,0,0,2.75425,0
2019,1,3,5.25,3,,0.40654,,0.08733,,-0.97061,0.060887,0,0,2.75235,0
2019,1,3,6.25,3,,0.42334,,0.0682465,,-1.039565,0.0672365,0,0,3.3643,0
2019,1,3,7.25,3,,0.409835,,0.0840285,,-1.001825,0.084869,0,0,3.57455,0
2019,1,3,8.25,3,,0.35696,,0.133385,,-1.1479,0.069279,0,0,3.35695,0
2019,1,3,9.25,3,,0.359465,,0.13023,,-1.2982,0.1352975,1.9584902,0.699867467,4.20755,0
2019,1,3,10.25,3,,0.342845,,0.14811,,-1.37215,0.169335,29.244181,10.41151761,4.2657,0
2019,1,3,11.25,3,,0.338255,,0.16075,0.008466481,-0.956385,0.246435,85.832281,31.22521315,4.0857,0
2019,1,3,12.25,3,,0.32944,,0.183605,0.032415873,0.185375,0.45968,219.14048,76.3588,4.75065,0
2019,1,3,13.25,3,,0.31636,,0.196015,0.029401009,0.71727,0.636445,154.722682,53.91858261,4.5044,0
2019,1,3,14.25,3,,0.33292,,0.17843,0.016995063,0.62347,0.743675,178.00888,58.51858261,4.01245,0
2019,1,3,15.25,3,,0.339075,,0.16975,0.034439455,0.450995,0.83022,130.743085,44.71749565,3.8074,0
2019,1,3,16.25,3,,0.33335,,0.167275,,0.152605,0.76781,55.8927855,16.81216967,3.07455,0
2019,1,3,17.25,3,,0.394405,,0.0932805,,-1.093695,0.571715,2.15209315,1.561247935,3.8728,0
2019,1,3,18.25,3,,0.419755,,0.057165,,-1.84705,0.824825,0,0,4.02635,0
2019,1,3,19.25,3,,0.40477,,0.063037,,-2.83575,0.63273,0,0,3.81865,0
2019,1,3,20.25,3,,0.411255,,0.052405,,-3.3481,0.694375,0,0,4.14115,0
2019,1,3,21.25,3,,0.411395,,0.047939,,-3.562,0.875295,0,0,4.3058,0
2019,1,3,22.25,3,,0.408435,,0.0444735,,-4.06325,0.847065,0,0,3.78435,0
2019,1,3,23.25,3,,0.38686,,0.0682995,,-4.39485,0.836345,0,0,4.06315,0
2019,1,4,0.25,4,,0.381035,,0.074111,,-3.9419,1.0437,0,0,5.00545,0
2019,1,4,1.25,4,,0.375705,,0.06933,,-4.5158,0.995435,0,0,4.63885,0
2019,1,4,2.25,4,,0.371705,,0.0650145,,-5.2748,0.892555,0,0,3.8569,0
2019,1,4,3.25,4,,0.389875,,0.040065,,-5.83935,0.851465,0,0,3.7202,0
2019,1,4,4.25,4,,0.41002,,0.01804,,-6.29625,0.79424,0,0,4.1027,0
2019,1,4,5.25,4,,0.38942,,0.0414875,,-6.08045,0.84425,0,0,4.8149,0
2019,1,4,6.25,4,,0.377365,,0.0505025,,-6.1108,0.83677,0,0,4.827,0
2019,1,4,7.25,4,,0.381555,,0.0322365,,-6.69625,0.73933,0,0,5.0584,0
2019,1,4,8.25,4,,0.35303,,0.052768,,-7.6171,0.575805,0,0,2.96845,0
2019,1,4,9.25,4,,0.342565,,0.058603,,-8.2128,0.47918,0,0.650617663,1.55805,0
2019,1,4,10.25,4,,0.333245,,0.054992,,-8.83765,0.40416,21.5914455,9.289752717,2.03985,0
2019,1,4,11.25,4,,0.344925,,0.0511755,0.006173903,-9.0197,0.35072,50.6039295,20.3684425,1.82835,0
2019,1,4,12.25,4,,0.335925,,0.0737765,0.0096942,-7.95535,0.46541,54.718063,23.64028478,1.38615,0
2019,1,4,13.25,4,,0.31433,,0.0951065,0.014581656,-7.54815,0.48823,58.0106965,24.17723478,2.3175,0
2019,1,4,14.25,4,,0.32932,,0.0797855,0.011365183,-7.6748,0.43099,51.9563305,21.16038163,2.05685,0
2019,1,4,15.25,4,,0.33318,,0.0736775,0.005030794,-7.6969,0.391065,57.2954645,22.30722293,2.0423,0
2019,1,4,16.25,4,,0.35596,,0.045627,,-8.03735,0.36136,26.5154475,9.77819587,2.24645,0
2019,1,4,17.25,4,,0.393465,,0.00939585,,-8.2113,0.334955,1.82851155,0.872878348,1.3893,0
2019,1,4,18.25,4,,0.39501,,0.00100735,,-8.27815,0.31539,0,0,1.43575,0
2019,1,4,19.25,4,,0.38689,,0.001735,,-8.92475,0.27086,0,0,1.125425,0.0483333
2019,1,4,20.25,4,,0.423425,,-0.0400315,,-9.391,0.240075,0,0,1.50325,0
2019,1,4,21.25,4,,0.413565,,-0.038917,,-9.7732,0.19499,0,0,3.188,0
2019,1,4,22.25,4,,0.38594,,-0.019081,,-10.5075,0.13528,0,0,3.87955,0
2019,1,4,23.25,4,,0.36725,,-5.60E-06,,-10.7205,0.12327,0,0,3.9813,0.163333
2019,1,5,0.25,5,,0.35988,,0.00358316,,-10.8005,0.1463,0,0,4.0202,0.015
2019,1,5,1.25,5,,0.37896,,-0.022628,,-11.1685,0.16211,0,0,3.7488,0.0166667
2019,1,5,2.25,5,,0.36734,,-0.016242,,-11.581,0.166635,0,0,3.48135,0.0133333
2019,1,5,3.25,5,,0.38214,,-0.0391475,,-12.1165,0.17635,0,0,3.77235,0
2019,1,5,4.25,5,,0.408405,,-0.0806555,,-12.7225,0.18775,0,0,3.61045,0
2019,1,5,5.25,5,,0.36203,,-0.0469835,,-13.896,0.189895,0,0,2.79975,0
2019,1,5,6.25,5,,0.396925,,-0.0864995,,-14.469,0.190475,0,0,3.02525,0
2019,1,5,7.25,5,,0.403135,,-0.095412,,-14.6075,0.186265,0,0,2.69945,0
2019,1,5,8.25,5,,0.34874,,-0.044969,,-14.8195,0.182905,0,0,2.27845,0
2019,1,5,9.25,5,,0.351265,,-0.053714,,-15.175,0.17703,0.06262098,0.610255228,2.05795,0
2019,1,5,10.25,5,,0.33623,,-0.0404085,,-15.4675,0.17958,14.78440995,8.119927935,1.396,0
2019,1,5,11.25,5,,0.34352,,-0.047701,0.003100264,-15.5245,0.18241,44.830039,21.1044987,0.955255,0
2019,1,5,12.25,5,,0.324105,,-0.0272345,0.018752276,-15.5785,0.181715,77.531723,33.93504891,1.2141,0
2019,1,5,13.25,5,,0.314345,,-0.0103935,0.017928433,-15.333,0.189335,107.96341,45.51331522,0.89989,0.0716667
2019,1,5,14.25,5,,0.331695,,-0.019067,-0.002786484,-14.8635,0.192605,112.82609,47.38288587,1.14015,0
2019,1,5,15.25,5,,0.335875,,-0.0253405,0.003453464,-14.691,0.19232,81.0552725,34.50789239,1.7127,0
2019,1,5,16.25,5,,0.34021,,-0.0289085,,-14.7855,0.17726,28.456908,13.20528902,2.1723,0
2019,1,5,17.25,5,,0.37331,,-0.0658445,,-14.9765,0.173875,1.2104857,1.097429348,1.6741,0
2019,1,5,18.25,5,,0.378745,,-0.076409,,-15.3175,0.175175,0,0,2.0122,0
2019,1,5,19.25,5,,0.37568,,-0.07603,,-15.7155,0.1773,0,0,2.07235,0.156667
2019,1,5,20.25,5,,0.411395,,-0.10311,,-15.548,0.176495,0,0,2.3434,0
2019,1,5,21.25,5,,0.428635,,-0.12237,,-15.257,0.178475,0,0,3.1973,0
2019,1,5,22.25,5,,0.41338,,-0.11569,,-15.721,0.184445,0,0,3.25015,0
2019,1,5,23.25,5,,0.36682,,-0.077365,,-16.3735,0.183905,0,0,3.34355,0
2019,1,6,0.25,6,,0.355645,,-0.0631665,,-16.567,0.18244,0,0,3.2156,0
2019,1,6,1.25,6,,0.36417,,-0.064803,,-16.3495,0.182095,0,0,3.46445,0
2019,1,6,2.25,6,,0.317735,,-0.010538,,-15.878,0.18275,0,0,3.68845,0
2019,1,6,3.25,6,,0.37346,,-0.0581515,,-15.4385,0.18312,0,0,3.67435,0.0133333
