         173426309 function calls (172996907 primitive calls) in 4586.962 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    23379 1183.693    0.051 1900.762    0.081 C:\Users\liuha\Desktop\dalecv5.2_SIF\src\model\SIF.py:152(cal_rtm_sif)
    23379 1067.672    0.046 1811.671    0.077 C:\Users\liuha\Desktop\dalecv5.2_SIF\src\model\SIF.py:113(sif_canopy_matrix)
    93520  912.232    0.010  917.350    0.010 C:\Users\liuha\anaconda3\lib\site-packages\numpy\linalg\linalg.py:476(inv)
   116899  502.206    0.004  504.659    0.004 C:\Users\liuha\anaconda3\lib\site-packages\numpy\linalg\linalg.py:553(matrix_power)
    23379  158.628    0.007  158.628    0.007 C:\Users\liuha\Desktop\dalecv5.2_SIF\src\model\SIF.py:98(sif_leaf_matrix)
  1100473   73.205    0.000  103.357    0.000 C:\Users\liuha\Desktop\dalecv5.2_SIF\src\model\resistances.py:71(resistances)
  1100473   70.676    0.000   74.762    0.000 C:\Users\liuha\Desktop\dalecv5.2_SIF\src\model\TIR.py:186(calc_netrad)
   140282   61.032    0.000   65.912    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\lib\twodim_base.py:156(eye)
    26280   42.326    0.002  458.060    0.017 C:\Users\liuha\Desktop\dalecv5.2_SIF\src\model\Ebal.py:104(Ebal)
    53655   41.567    0.001   53.756    0.001 C:\Users\liuha\Desktop\dalecv5.2_SIF\src\model\RTM_Optical.py:239(hotspot_calculations_vec)
     7793   38.787    0.005 3966.967    0.509 C:\Users\liuha\Desktop\dalecv5.2_SIF\src\model\SIF.py:319(cal_canopy_sif)
  4052433   35.524    0.000   70.973    0.000 C:\Users\liuha\Desktop\dalecv5.2_SIF\src\model\PhotoSynth.py:224(Compute_A)
  8104866   35.449    0.000   35.449    0.000 C:\Users\liuha\Desktop\dalecv5.2_SIF\src\model\PhotoSynth.py:279(sel_root)
       65   28.131    0.433   29.009    0.446 C:\Users\liuha\Desktop\dalecv5.2_SIF\src\model\RTM_initial.py:513(volscatt_vec)
    26280   26.155    0.001  109.800    0.004 C:\Users\liuha\Desktop\dalecv5.2_SIF\src\model\RTM_Optical.py:12(rtm_o)
     7793   23.670    0.003   23.670    0.003 C:\Users\liuha\Desktop\dalecv5.2_SIF\src\model\SIF.py:298(leaf_sif_Q)
  4401892   23.579    0.000   47.089    0.000 C:\Users\liuha\Desktop\dalecv5.2_SIF\src\model\Ebal.py:62(heatfluxes)
12589990/12589978   18.728    0.000   18.728    0.000 {built-in method numpy.array}
   352014   14.626    0.000   25.886    0.000 C:\Users\liuha\anaconda3\lib\site-packages\scipy\integrate\_quadrature.py:391(_basic_simpson)
  1100473   10.059    0.000   11.959    0.000 C:\Users\liuha\Desktop\dalecv5.2_SIF\src\model\resistances.py:142(calc_R_S_Choudhury)
5668208/5247701    9.283    0.000 1453.578    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
   398142    8.280    0.000  120.454    0.000 C:\Users\liuha\Desktop\dalecv5.2_SIF\src\model\PhotoSynth.py:33(PhotoSynth)
  2027684    6.891    0.000    6.891    0.000 C:\Users\liuha\Desktop\dalecv5.2_SIF\src\model\PhotoSynth.py:297(temperature_functionC3)
  2200946    6.346    0.000    6.346    0.000 C:\Users\liuha\Desktop\dalecv5.2_SIF\src\model\resistances.py:45(psim)
  1315878    6.256    0.000   25.056    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\series.py:928(__getitem__)
  4401892    6.253    0.000    6.253    0.000 C:\Users\liuha\Desktop\dalecv5.2_SIF\src\model\Ebal.py:24(s_fun)
 14070839    6.117    0.000    6.117    0.000 {built-in method builtins.max}
   210240    5.975    0.000   13.304    0.000 C:\Users\liuha\Desktop\dalecv5.2_SIF\src\model\RTM_initial.py:619(volscatt_solar)
  3654291    5.890    0.000    7.634    0.000 C:\Users\liuha\Desktop\dalecv5.2_SIF\src\model\PhotoSynth.py:253(gsFun)
  4428172    5.661    0.000   11.824    0.000 C:\Users\liuha\Desktop\dalecv5.2_SIF\src\model\TIR.py:384(calc_lambda)
  3654291    5.570    0.000   87.630    0.000 C:\Users\liuha\Desktop\dalecv5.2_SIF\src\model\PhotoSynth.py:207(opt_Ci)
  4401892    5.541    0.000    5.541    0.000 C:\Users\liuha\Desktop\dalecv5.2_SIF\src\model\Ebal.py:21(es_fun)
   833258    5.290    0.000    5.290    0.000 C:\Users\liuha\Desktop\dalecv5.2_SIF\src\model\PhotoSynth.py:303(high_temp_inhibtionC3)
  3654291    5.237    0.000   14.070    0.000 C:\Users\liuha\Desktop\dalecv5.2_SIF\src\model\PhotoSynth.py:248(BallBerry)
   382487    5.156    0.000    5.156    0.000 {built-in method numpy.zeros}
    26280    4.964    0.000    5.055    0.000 C:\Users\liuha\Desktop\dalecv5.2_SIF\src\model\TIR.py:56(calc_ebal_canopy_pars)
